machine_quality,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,operating_hours,vibration_mm_s,pressure_bar,failure_type,machine_failure
M,300.56,310.81,1598.2,36.1,147,366.1,3.268,149.66,No Failure,0
L,297.58,307.97,1655.0,27.02,249,1443.7,3.717,175.12,No Failure,0
H,299.19,310.08,1460.1,45.34,54,318.7,2.102,138.17,No Failure,0
M,298.72,309.6,1533.8,33.11,218,978.1,4.062,155.79,No Failure,0
L,298.03,307.72,1522.5,38.86,35,444.7,1.818,159.42,No Failure,0
H,300.07,311.03,1365.2,50.06,61,916.4,2.125,163.44,No Failure,0
M,294.86,304.52,1362.2,45.72,9,175.6,1.26,137.63,No Failure,0
M,299.37,309.61,1448.6,33.79,82,1879.4,2.298,155.48,No Failure,0
L,299.82,310.02,1407.7,50.41,181,201.8,3.31,145.03,No Failure,0
L,297.28,306.42,1369.6,46.66,48,298.7,2.806,149.83,No Failure,0
L,303.03,312.28,1542.2,32.94,18,767.1,2.161,145.45,No Failure,0
H,298.81,311.05,1660.8,34.86,139,1687.4,1.987,144.38,No Failure,0
M,299.53,308.63,1401.3,50.01,1,256.0,2.301,169.28,No Failure,0
H,298.82,309.19,1450.1,47.79,163,529.7,3.151,162.83,No Failure,0
L,299.84,310.42,1599.6,24.97,187,659.4,3.545,133.93,No Failure,0
L,302.62,312.56,1698.0,29.94,187,1338.2,3.587,147.27,No Failure,0
M,304.95,315.62,1593.6,46.95,22,222.7,2.361,149.03,No Failure,0
L,301.49,311.82,1551.7,28.26,132,1062.0,3.225,166.87,No Failure,0
H,302.18,311.31,1501.1,48.05,80,1553.0,2.214,136.62,No Failure,0
M,303.43,313.97,1533.3,59.36,30,822.0,1.973,142.17,Power Failure,1
M,300.5,309.95,1365.7,43.73,40,143.0,2.318,141.46,No Failure,0
L,303.14,314.88,1662.1,30.77,62,1123.5,2.069,126.79,No Failure,0
H,301.58,312.01,1329.2,41.77,188,1632.0,3.718,126.93,No Failure,0
H,300.29,309.59,1419.9,50.35,117,523.3,2.872,153.3,No Failure,0
M,300.7,311.04,1479.5,40.99,22,182.9,2.105,141.2,No Failure,0
L,296.36,305.43,1307.7,44.84,67,839.1,1.978,152.9,No Failure,0
L,300.58,310.84,1662.0,32.01,44,642.6,2.468,130.81,No Failure,0
L,296.91,306.69,1571.2,32.76,12,241.5,2.316,136.4,No Failure,0
L,296.75,305.92,1344.1,49.06,218,1097.5,3.42,144.92,No Failure,0
M,300.39,309.55,1586.5,32.88,222,857.8,4.147,132.18,No Failure,0
M,297.77,310.21,1788.2,14.14,14,628.0,0.702,146.39,Power Failure,1
H,299.99,310.08,1365.3,36.94,130,572.2,3.013,146.22,No Failure,0
L,300.28,309.85,1191.5,43.14,215,845.1,3.527,145.17,No Failure,0
L,300.37,309.76,1411.5,50.59,148,270.7,3.43,133.52,No Failure,0
L,298.19,308.66,1299.2,56.46,85,1333.6,2.404,164.07,No Failure,0
L,301.8,311.16,1613.7,40.85,25,1560.2,1.989,135.44,No Failure,0
L,299.82,308.73,1414.0,46.59,23,577.1,1.905,147.82,No Failure,0
L,300.88,310.85,1518.2,41.21,227,495.7,3.814,147.89,No Failure,0
L,297.61,307.57,1454.8,43.54,160,328.7,3.378,150.32,No Failure,0
M,299.64,309.23,1375.8,38.13,215,196.3,3.2,133.32,No Failure,0
L,302.19,311.3,1471.8,43.86,243,451.5,4.293,153.2,No Failure,0
H,301.94,311.55,1439.0,32.7,97,710.9,2.33,141.53,No Failure,0
M,298.41,307.94,1217.8,59.8,175,1128.1,3.281,156.29,No Failure,0
L,298.91,308.3,1592.5,16.09,49,225.9,1.816,160.78,Power Failure,1
H,298.02,308.3,1347.6,45.71,168,597.9,3.208,150.51,No Failure,0
H,298.69,310.91,1455.5,43.2,198,628.9,3.628,143.07,No Failure,0
L,297.2,308.53,1435.0,43.71,133,951.4,3.102,169.17,No Failure,0
L,299.72,311.67,1620.2,28.17,143,409.6,2.773,154.89,No Failure,0
M,301.27,310.7,1492.6,23.22,113,1715.8,2.385,140.56,No Failure,0
L,298.43,310.1,1428.9,46.06,207,1295.8,3.968,136.24,No Failure,0
L,299.82,310.05,1349.4,53.41,126,761.7,3.046,154.47,No Failure,0
L,299.56,310.55,1500.5,42.2,120,1594.9,3.151,145.94,No Failure,0
M,302.11,312.57,1458.0,48.05,95,991.8,3.055,136.7,No Failure,0
M,298.78,308.43,1550.7,35.42,222,1460.7,3.553,150.93,No Failure,0
M,298.85,309.57,1384.3,43.32,22,1214.5,1.718,134.89,No Failure,0
M,298.31,308.79,1404.2,52.26,179,897.8,3.823,150.93,No Failure,0
L,297.72,305.96,1478.9,36.86,106,922.8,3.1,153.15,No Failure,0
M,301.06,310.93,1523.4,51.86,88,781.7,3.046,139.72,No Failure,0
L,299.73,310.6,1640.7,23.65,109,2778.7,2.094,153.97,No Failure,0
L,300.11,310.39,1556.2,33.87,188,1348.2,3.27,140.77,No Failure,0
M,302.55,313.02,1341.0,45.46,88,732.0,2.344,149.47,No Failure,0
L,302.66,311.91,1294.6,59.03,80,1672.8,3.221,131.17,No Failure,0
M,296.71,306.96,1522.1,40.14,248,405.7,4.21,150.88,No Failure,0
M,301.3,311.2,1575.6,29.66,107,810.7,2.163,162.61,No Failure,0
M,300.45,310.25,1341.5,58.8,200,414.0,3.845,131.82,No Failure,0
M,299.08,308.4,1352.3,38.74,99,690.8,2.282,158.61,No Failure,0
M,300.66,311.57,1373.6,46.65,244,515.7,4.053,143.05,No Failure,0
L,296.55,306.89,1502.0,36.66,104,724.2,2.743,160.56,No Failure,0
L,302.93,313.17,1596.8,41.42,90,407.1,2.343,170.66,No Failure,0
L,301.03,313.08,1374.8,34.38,181,826.7,3.325,150.93,No Failure,0
L,298.27,308.74,1225.4,62.58,203,208.1,4.174,156.4,Overstrain Failure,1
L,298.83,310.03,1233.9,51.91,61,555.0,1.875,154.32,No Failure,0
H,296.59,306.87,1387.8,57.68,234,445.1,3.782,161.44,Overstrain Failure,1
L,299.37,309.02,1669.8,32.12,80,34.8,2.099,147.21,No Failure,0
L,299.03,307.98,1678.4,21.75,223,1402.8,3.198,157.91,No Failure,0
L,297.35,307.59,1575.4,37.07,128,2051.0,2.945,141.47,No Failure,0
L,301.55,308.89,1205.8,65.16,143,948.0,3.429,163.38,Heat Dissipation Failure,1
M,302.55,312.83,1559.0,36.78,69,668.2,2.441,137.2,No Failure,0
M,299.95,310.26,1346.3,50.52,40,445.1,2.36,144.33,No Failure,0
M,299.39,309.17,1587.4,29.75,33,804.5,1.983,142.28,No Failure,0
M,300.87,310.78,1611.5,31.71,28,1118.4,1.556,154.52,No Failure,0
L,299.96,308.71,1480.1,39.2,175,1364.2,3.268,159.13,No Failure,0
H,297.84,309.22,1405.0,61.1,153,1133.8,4.154,156.35,No Failure,0
L,298.69,308.36,1397.3,51.0,149,395.3,2.996,143.58,No Failure,0
L,299.41,308.44,1688.9,19.47,231,483.9,3.7,167.49,Power Failure,1
L,300.5,311.04,1616.8,46.67,236,273.7,4.397,163.97,Overstrain Failure,1
M,300.02,310.13,1636.7,28.51,121,355.6,2.723,153.17,No Failure,0
L,300.42,310.06,1487.1,33.18,185,1108.0,3.582,142.65,No Failure,0
L,296.95,306.49,1415.9,45.1,19,658.8,1.892,133.74,No Failure,0
M,301.33,311.32,1466.7,53.98,143,1140.5,3.455,158.36,No Failure,0
L,300.01,311.35,1485.9,53.49,107,1275.2,3.007,146.23,No Failure,0
